Date,Open,High,Low,Close,Adj Close,Volume
2022-01-17,172.000000,180.610001,153.210007,154.410004,154.410004,17987100
2022-01-24,146.100006,151.660004,119.410004,136.619995,136.619995,63792300
2022-01-31,139.479996,160.000000,137.199997,155.020004,155.020004,39412200
2022-02-07,152.009995,175.360001,151.809998,158.279999,158.279999,36963500
2022-02-14,139.089996,149.800003,125.059998,127.690002,127.690002,68845100
2022-02-21,125.599998,138.770996,111.500000,137.460007,137.460007,41531400
2022-02-28,140.970001,150.979996,96.190002,97.440002,97.440002,97277000
2022-03-07,95.760002,104.254997,86.349998,91.040001,91.040001,52469300
2022-03-14,88.959999,124.660004,85.010002,122.540001,122.540001,51516300
2022-03-21,119.070000,131.369995,111.539001,116.120003,116.120003,33950200
2022-03-28,111.910004,131.399994,109.669998,121.099998,121.099998,36951900
2022-04-04,126.000000,136.429993,112.955002,114.419998,114.419998,27804900
2022-04-11,113.800003,118.489998,106.650002,108.580002,108.580002,19152800
2022-04-18,107.260002,108.834999,87.199997,87.620003,87.620003,27542100
2022-04-25,85.500000,92.180000,79.669998,82.760002,82.760002,28615400
2022-05-02,80.279999,90.379997,74.000000,76.199997,76.199997,30286200
2022-05-09,72.750000,76.000000,54.060001,75.400002,75.400002,75479800
2022-05-16,72.199997,83.209999,69.330002,79.660004,79.660004,61892100
2022-05-23,78.949997,84.230003,70.610001,82.860001,82.860001,33678500
2022-05-30,87.019997,89.739998,77.650002,78.760002,78.760002,29780200
2022-06-06,81.849998,89.919998,74.470001,76.279999,76.279999,34136800
2022-06-13,71.889999,77.459999,67.900002,70.199997,70.199997,30647200
2022-06-20,72.050003,81.120003,69.670998,80.470001,80.470001,20962600
2022-06-27,81.400002,81.809998,65.209999,69.059998,69.059998,26963600
2022-07-04,67.565002,79.540001,66.190002,77.519997,77.519997,20734700
2022-07-11,75.989998,76.000000,66.519997,69.150002,69.150002,18042300
2022-07-18,71.389999,84.489998,68.870003,77.320000,77.320000,31042200
2022-07-25,77.540001,78.651001,71.279999,76.320000,76.320000,20412500
2022-08-01,75.309998,89.550003,74.105003,87.570000,87.570000,23831900
2022-08-08,88.080002,93.699997,82.070000,88.709999,88.709999,25810500
2022-08-15,88.839996,92.349998,66.529999,67.669998,67.669998,79922900
2022-08-22,65.849998,68.550003,62.150002,63.820000,63.820000,37242200
2022-08-29,62.180000,64.330002,58.646000,59.930000,59.930000,28857800
2022-09-05,58.250000,64.209999,55.759998,63.470001,63.470001,23983500
2022-09-12,64.000000,66.464996,57.720001,59.009998,59.009998,23986400
2022-09-19,57.279999,59.759998,52.380001,53.810001,53.810001,25944700
2022-09-26,53.290001,57.200001,53.000000,56.049999,56.049999,29627000
2022-10-03,55.345001,62.560001,53.299999,60.049999,60.049999,26416400
2022-10-10,58.810001,59.619999,50.790001,51.070000,51.070000,29324800
2022-10-17,52.270000,55.619999,44.250000,46.180000,46.180000,28620500
2022-10-24,44.360001,53.009998,42.709999,49.540001,49.540001,23623400
2022-10-31,49.580002,52.090000,43.720001,44.009998,44.009998,22535100
2022-11-07,46.259998,50.740002,40.665001,49.430000,49.430000,35782800
2022-11-14,50.700001,65.650002,44.950001,56.939999,56.939999,79183800
2022-11-21,56.000000,57.410000,51.759998,54.320000,54.320000,16479600
2022-11-28,54.320000,63.070000,52.810001,61.380001,61.380001,28304400
2022-12-05,62.000000,63.400002,57.360001,60.650002,60.650002,21983500
2022-12-12,60.650002,68.769997,53.009998,53.689999,53.689999,27075700
2022-12-19,53.799999,54.980000,48.029999,49.919998,49.919998,23773800
2022-12-26,48.520000,53.160000,47.576000,52.029999,52.029999,15444400
2023-01-02,53.150002,56.250000,51.150002,55.689999,55.689999,14855000
2023-01-09,56.549999,60.450001,51.265999,60.119999,60.119999,23238200
2023-01-16,60.279999,68.650002,60.009998,65.860001,65.860001,25300700
2023-01-23,67.000000,69.410004,61.360001,68.550003,68.550003,21834300
2023-01-30,66.779999,74.682999,63.820000,70.470001,70.470001,23627500
2023-02-06,69.000000,71.180000,63.799999,64.000000,64.000000,16986800
2023-02-13,63.660000,69.769997,61.700001,65.010002,65.010002,21484000
2023-02-20,63.009998,65.129997,57.950001,60.009998,60.009998,17969000
2023-02-27,60.700001,66.029999,59.840000,65.669998,65.669998,17650100
2023-03-06,66.339996,81.519997,64.699997,73.449997,73.449997,89355000
2023-03-13,72.000000,79.650002,71.080002,78.400002,78.400002,21185600
2023-03-20,77.160004,85.199997,75.529999,82.379997,82.379997,24959600
2023-03-27,82.489998,87.877998,81.400002,86.550003,86.550003,21408600
2023-04-03,87.260002,88.839996,82.320000,84.080002,84.080002,14306600
2023-04-10,82.570000,85.309998,80.379997,83.519997,83.519997,15070400
2023-04-17,83.839996,84.305000,77.669998,79.169998,79.169998,13162100
2023-04-24,79.160004,80.769997,72.809998,76.169998,76.169998,14277000
2023-05-01,75.110001,79.449997,73.010002,78.410004,78.410004,10137200
2023-05-08,85.000000,87.379997,82.379997,84.769997,84.769997,20243100
2023-05-15,86.120003,88.389999,69.440002,69.440002,69.440002,52651500
2023-05-22,70.000000,70.260002,59.520000,60.119999,60.119999,36965800
2023-05-29,60.720001,61.270000,56.049999,59.389999,59.389999,26923900
2023-06-05,58.759998,64.970001,58.009998,63.380001,63.380001,23380300
2023-06-12,63.990002,66.389999,61.330002,62.080002,62.080002,23284700
2023-06-19,61.130001,62.410000,57.770000,58.910000,58.910000,13107300
2023-06-26,58.650002,58.860001,56.230000,58.040001,58.040001,23165400
2023-07-03,58.500000,59.500000,54.340000,54.980000,54.980000,16167300
2023-07-10,54.650002,63.750000,54.380001,62.500000,62.500000,25997400
2023-07-17,62.230000,63.900002,59.709999,60.160000,60.160000,12542500
2023-07-20,61.549999,61.980000,59.709999,60.160000,60.160000,3614620
